A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
01-01-2024,1,2,15,NILOUFER TEA,150,93,FRUIT PREMIUM,500,250,VEG ROLL,45,98,OPERA PASTRY,169.9,24
01-01-2024,1,2,16,NILOUFER TEA,150,104,PALMIERS,170,300,ALOO PARATHA,280,88,ENGLISH FRUIT CUSTURD,193,28
01-01-2024,1,2,17,NILOUFER TEA,150,102,CHOCOCHIP OSMANIA,165,137,PAV BAJI,69,103,PREMIUM BUTTERSCOCH,159,30
01-01-2024,1,2,18,NILOUFER TEA,150,101,PLAIN KHARI,175,104,VEG STICKS,220,121,EGGLESS BUTTERSCOCH,360,13
01-01-2024,1,2,19,NILOUFER TEA,150,83,DRY FRUIT PREMIUM,725,205,PANNER PIZZA,320,97,EGGLESS CHOCOCHIP CAKE,410,
01-01-2024,1,2,20,NILOUFER TEA,150,95,CHOCO ROCKS,320,252,MUSHROOM WRAP,450,116,EGGLESS CHOCO TRUFFLE CAKE,520,22
01-01-2024,1,2,21,NILOUFER TEA,150,70,GHEE BUN,80,119,MASALA FRIES,250,113,EGGLESS RASMALAI CAKE,620,15
01-01-2024,1,2,22,NILOUFER TEA,150,54,DUM KA ROAT,600,253,SWEET CORN,20,90,TIRAMISU PASTRY,160.9,22
01-01-2024,1,2,23,NILOUFER TEA,150,84,ATTA BISCUIT,180,296,VADA PAV,180,134,SWISS ROCHER PASTRY,159,18
01-01-2024,1,2,24,NILOUFER TEA,150,81,GHEE ALMOND,220,128,POPCORN,25,86,CHEESE CAKE,480,10
02-01-2024,1,3,1,NILOUFER TEA,150,86,OSMANIA CLASSIC,60,266,VEG PUFF,59,115,VANILLA CAKE,169,20
02-01-2024,1,3,2,NILOUFER TEA,150,80,OSMANIA PREMIUM,450,245,PANEER PUFF,69,70,BUTTERSCOCH CAKE,159,30
02-01-2024,1,3,3,NILOUFER TEA,150,62,BUTTER ALMOND,140,299,EGG PUFF,70,140,DRY FRUITS CAKE,220,14
02-01-2024,1,3,4,NILOUFER TEA,150,51,DRY FRUIT,140,101,ALOO SAMOSA,45,103,STRAWBERRY CAKE,250,
02-01-2024,1,3,5,NILOUFER TEA,150,73,CHOCOCHIP,100,273,MASKA BUN,100,93,PINEAPPLE CAKE,111,26
02-01-2024,1,3,6,NILOUFER TEA,150,93,DOUBLE CHOCOCHIP,120,160,MALAI BUN,180,76,RASMALAI CAKE,250,19
02-01-2024,1,3,7,NILOUFER TEA,150,59,FRUIT BISCUIT,180,148,SANDWICH,120,67,CHOCLATE CAKE,320,
02-01-2024,1,3,8,NILOUFER TEA,150,86,SALT BISCUIT,140,293,VEG HALEEM,320,75,CHOCO CHIPS CAKES,320,13
02-01-2024,1,3,9,NILOUFER TEA,150,115,MELTING COOKIES,200,209,ONION SAMOSA,50,64,ALMONDS CAKE,230,28
02-01-2024,1,3,10,NILOUFER TEA,150,86,ALMOND STICKS,400,192,FRENCHFRIES,250,144,BLUEBERRY CAKE,480,11
02-01-2024,1,3,11,NILOUFER TEA,150,86,MULTIGRAIN BISCUIT,210,124,CLASSIC PIZZA - S,100,110,RED VELVET PASTRY,111,22
02-01-2024,1,3,12,NILOUFER TEA,150,114,OATS BISCUIT,125,169,BURGER,165,138,BELGIUM CHOCLATE PASTRY,159,27
02-01-2024,1,3,13,NILOUFER TEA,150,130,RAGI BISCUIT,230,213,BUTTER CAKE,89,138,BLACK FOREST PASTRY,111,
02-01-2024,1,3,14,NILOUFER TEA,150,90,COCONUT BISCUIT,150,141,BURGUR BUN,170,143,BRAZILIAN COFFEE PASTRY,159,12
02-01-2024,1,3,15,NILOUFER TEA,150,126,FRUIT PREMIUM,500,184,VEG ROLL,45,130,OPERA PASTRY,169.9,26
02-01-2024,1,3,16,NILOUFER TEA,150,114,PALMIERS,170,298,ALOO PARATHA,280,138,ENGLISH FRUIT CUSTURD,193,13
02-01-2024,1,3,17,NILOUFER TEA,150,56,CHOCOCHIP OSMANIA,165,142,PAV BAJI,69,101,PREMIUM BUTTERSCOCH,159,15
02-01-2024,1,3,18,NILOUFER TEA,150,55,PLAIN KHARI,175,199,VEG STICKS,220,114,EGGLESS BUTTERSCOCH,360,15
02-01-2024,1,3,19,NILOUFER TEA,150,107,DRY FRUIT PREMIUM,725,249,PANNER PIZZA,320,102,EGGLESS CHOCOCHIP CAKE,410,23
02-01-2024,1,3,20,NILOUFER TEA,150,125,CHOCO ROCKS,320,206,MUSHROOM WRAP,450,69,EGGLESS CHOCO TRUFFLE CAKE,520,22
02-01-2024,1,3,21,NILOUFER TEA,150,123,GHEE BUN,80,140,MASALA FRIES,250,85,EGGLESS RASMALAI CAKE,620,19
02-01-2024,1,3,22,NILOUFER TEA,150,93,DUM KA ROAT,600,149,SWEET CORN,20,139,TIRAMISU PASTRY,160.9,
02-01-2024,1,3,23,NILOUFER TEA,150,127,ATTA BISCUIT,180,168,VADA PAV,180,107,SWISS ROCHER PASTRY,159,17
02-01-2024,1,3,24,NILOUFER TEA,150,110,GHEE ALMOND,220,260,POPCORN,25,61,CHEESE CAKE,480,11
03-01-2024,1,4,1,NILOUFER TEA,150,78,OSMANIA CLASSIC,60,208,VEG PUFF,59,69,VANILLA CAKE,169,17
03-01-2024,1,4,2,NILOUFER TEA,150,121,OSMANIA PREMIUM,450,235,PANEER PUFF,69,119,BUTTERSCOCH CAKE,159,27
03-01-2024,1,4,3,NILOUFER TEA,150,65,BUTTER ALMOND,140,103,EGG PUFF,70,89,DRY FRUITS CAKE,220,25
03-01-2024,1,4,4,NILOUFER TEA,150,55,DRY FRUIT,140,107,ALOO SAMOSA,45,83,STRAWBERRY CAKE,250,19
03-01-2024,1,4,5,NILOUFER TEA,150,123,CHOCOCHIP,100,245,MASKA BUN,100,147,PINEAPPLE CAKE,111,14
03-01-2024,1,4,6,NILOUFER TEA,150,75,DOUBLE CHOCOCHIP,120,203,MALAI BUN,180,113,RASMALAI CAKE,250,24
03-01-2024,1,4,7,NILOUFER TEA,150,106,FRUIT BISCUIT,180,156,SANDWICH,120,127,CHOCLATE CAKE,320,18
03-01-2024,1,4,8,NILOUFER TEA,150,90,SALT BISCUIT,140,276,VEG HALEEM,320,67,CHOCO CHIPS CAKES,320,26
03-01-2024,1,4,9,NILOUFER TEA,150,116,MELTING COOKIES,200,119,ONION SAMOSA,50,72,ALMONDS CAKE,230,29
03-01-2024,1,4,10,NILOUFER TEA,150,104,ALMOND STICKS,400,266,FRENCHFRIES,250,98,BLUEBERRY CAKE,480,23
03-01-2024,1,4,11,NILOUFER TEA,150,106,MULTIGRAIN BISCUIT,210,138,CLASSIC PIZZA - S,100,144,RED VELVET PASTRY,111,28
03-01-2024,1,4,12,NILOUFER TEA,150,65,OATS BISCUIT,125,287,BURGER,165,69,BELGIUM CHOCLATE PASTRY,159,20
03-01-2024,1,4,13,NILOUFER TEA,150,109,RAGI BISCUIT,230,127,BUTTER CAKE,89,142,BLACK FOREST PASTRY,111,22
03-01-2024,1,4,14,NILOUFER TEA,150,68,COCONUT BISCUIT,150,117,BURGUR BUN,170,69,BRAZILIAN COFFEE PASTRY,159,26
03-01-2024,1,4,15,NILOUFER TEA,150,117,FRUIT PREMIUM,500,280,VEG ROLL,45,120,OPERA PASTRY,169.9,11
03-01-2024,1,4,16,NILOUFER TEA,150,99,PALMIERS,170,194,ALOO PARATHA,280,124,ENGLISH FRUIT CUSTURD,193,17
03-01-2024,1,4,17,NILOUFER TEA,150,114,CHOCOCHIP OSMANIA,165,117,PAV BAJI,69,140,PREMIUM BUTTERSCOCH,159,24
03-01-2024,1,4,18,NILOUFER TEA,150,90,PLAIN KHARI,175,259,VEG STICKS,220,112,EGGLESS BUTTERSCOCH,360,26
03-01-2024,1,4,19,NILOUFER TEA,150,78,DRY FRUIT PREMIUM,725,299,PANNER PIZZA,320,70,EGGLESS CHOCOCHIP CAKE,410,18
03-01-2024,1,4,20,NILOUFER TEA,150,125,CHOCO ROCKS,320,140,MUSHROOM WRAP,450,138,EGGLESS CHOCO TRUFFLE CAKE,520,23
03-01-2024,1,4,21,NILOUFER TEA,150,121,GHEE BUN,80,145,MASALA FRIES,250,80,EGGLESS RASMALAI CAKE,620,22
03-01-2024,1,4,22,NILOUFER TEA,150,118,DUM KA ROAT,600,208,SWEET CORN,20,91,TIRAMISU PASTRY,160.9,28
03-01-2024,1,4,23,NILOUFER TEA,150,109,ATTA BISCUIT,180,239,VADA PAV,180,116,SWISS ROCHER PASTRY,159,14
03-01-2024,1,4,24,NILOUFER TEA,150,94,GHEE ALMOND,220,180,POPCORN,25,79,CHEESE CAKE,480,30
04-01-2024,1,5,1,NILOUFER TEA,150,110,OSMANIA CLASSIC,60,101,VEG PUFF,59,83,VANILLA CAKE,169,13
04-01-2024,1,5,2,NILOUFER TEA,150,76,OSMANIA PREMIUM,450,211,PANEER PUFF,69,127,BUTTERSCOCH CAKE,159,23
04-01-2024,1,5,3,NILOUFER TEA,150,127,BUTTER ALMOND,140,286,EGG PUFF,70,68,DRY FRUITS CAKE,220,22
04-01-2024,1,5,4,NILOUFER TEA,150,98,DRY FRUIT,140,221,ALOO SAMOSA,45,91,STRAWBERRY CAKE,250,
04-01-2024,1,5,5,NILOUFER TEA,150,98,CHOCOCHIP,100,297,MASKA BUN,100,78,PINEAPPLE CAKE,111,13
04-01-2024,1,5,6,NILOUFER TEA,150,75,DOUBLE CHOCOCHIP,120,281,MALAI BUN,180,122,RASMALAI CAKE,250,20
04-01-2024,1,5,7,NILOUFER TEA,150,105,FRUIT BISCUIT,180,153,SANDWICH,120,114,CHOCLATE CAKE,320,
04-01-2024,1,5,8,NILOUFER TEA,150,52,SALT BISCUIT,140,110,VEG HALEEM,320,144,CHOCO CHIPS CAKES,320,28
04-01-2024,1,5,9,NILOUFER TEA,150,118,MELTING COOKIES,200,209,ONION SAMOSA,50,84,ALMONDS CAKE,230,28
04-01-2024,1,5,10,NILOUFER TEA,150,128,ALMOND STICKS,400,155,FRENCHFRIES,250,140,BLUEBERRY CAKE,480,22
04-01-2024,1,5,11,NILOUFER TEA,150,88,MULTIGRAIN BISCUIT,210,285,CLASSIC PIZZA - S,100,111,RED VELVET PASTRY,111,15
04-01-2024,1,5,12,NILOUFER TEA,150,113,OATS BISCUIT,125,186,BURGER,165,123,BELGIUM CHOCLATE PASTRY,159,13
04-01-2024,1,5,13,NILOUFER TEA,150,90,RAGI BISCUIT,230,172,BUTTER CAKE,89,114,BLACK FOREST PASTRY,111,26
04-01-2024,1,5,14,NILOUFER TEA,150,118,COCONUT BISCUIT,150,105,BURGUR BUN,170,119,BRAZILIAN COFFEE PASTRY,159,24
04-01-2024,1,5,15,NILOUFER TEA,150,95,FRUIT PREMIUM,500,288,VEG ROLL,45,97,OPERA PASTRY,169.9,14
04-01-2024,1,5,16,NILOUFER TEA,150,93,PALMIERS,170,113,ALOO PARATHA,280,145,ENGLISH FRUIT CUSTURD,193,17
04-01-2024,1,5,17,NILOUFER TEA,150,50,CHOCOCHIP OSMANIA,165,165,PAV BAJI,69,67,PREMIUM BUTTERSCOCH,159,27
04-01-2024,1,5,18,NILOUFER TEA,150,117,PLAIN KHARI,175,158,VEG STICKS,220,149,EGGLESS BUTTERSCOCH,360,10
04-01-2024,1,5,19,NILOUFER TEA,150,117,DRY FRUIT PREMIUM,725,281,PANNER PIZZA,320,138,EGGLESS CHOCOCHIP CAKE,410,30
04-01-2024,1,5,20,NILOUFER TEA,150,68,CHOCO ROCKS,320,251,MUSHROOM WRAP,450,62,EGGLESS CHOCO TRUFFLE CAKE,520,24
04-01-2024,1,5,21,NILOUFER TEA,150,57,GHEE BUN,80,104,MASALA FRIES,250,94,EGGLESS RASMALAI CAKE,620,26
04-01-2024,1,5,22,NILOUFER TEA,150,87,DUM KA ROAT,600,202,SWEET CORN,20,110,TIRAMISU PASTRY,160.9,12
04-01-2024,1,5,23,NILOUFER TEA,150,120,ATTA BISCUIT,180,223,VADA PAV,180,62,SWISS ROCHER PASTRY,159,17
04-01-2024,1,5,24,NILOUFER TEA,150,69,GHEE ALMOND,220,169,POPCORN,25,88,CHEESE CAKE,480,21
05-01-2024,1,6,1,NILOUFER TEA,150,98,OSMANIA CLASSIC,60,191,VEG PUFF,59,76,VANILLA CAKE,169,18
05-01-2024,1,6,2,NILOUFER TEA,150,115,OSMANIA PREMIUM,450,159,PANEER PUFF,69,89,BUTTERSCOCH CAKE,159,23
05-01-2024,1,6,3,NILOUFER TEA,150,128,BUTTER ALMOND,140,181,EGG PUFF,70,135,DRY FRUITS CAKE,220,10
05-01-2024,1,6,4,NILOUFER TEA,150,53,DRY FRUIT,140,300,ALOO SAMOSA,45,117,STRAWBERRY CAKE,250,30
05-01-2024,1,6,5,NILOUFER TEA,150,64,CHOCOCHIP,100,138,MASKA BUN,100,137,PINEAPPLE CAKE,111,23
05-01-2024,1,6,6,NILOUFER TEA,150,52,DOUBLE CHOCOCHIP,120,217,MALAI BUN,180,66,RASMALAI CAKE,250,23
05-01-2024,1,6,7,NILOUFER TEA,150,109,FRUIT BISCUIT,180,278,SANDWICH,120,136,CHOCLATE CAKE,320,27
05-01-2024,1,6,8,NILOUFER TEA,150,91,SALT BISCUIT,140,192,VEG HALEEM,320,141,CHOCO CHIPS CAKES,320,19
05-01-2024,1,6,9,NILOUFER TEA,150,52,MELTING COOKIES,200,286,ONION SAMOSA,50,122,ALMONDS CAKE,230,18
05-01-2024,1,6,10,NILOUFER TEA,150,65,ALMOND STICKS,400,170,FRENCHFRIES,250,97,BLUEBERRY CAKE,480,27
05-01-2024,1,6,11,NILOUFER TEA,150,107,MULTIGRAIN BISCUIT,210,158,CLASSIC PIZZA - S,100,115,RED VELVET PASTRY,111,22
05-01-2024,1,6,12,NILOUFER TEA,150,115,OATS BISCUIT,125,296,BURGER,165,106,BELGIUM CHOCLATE PASTRY,159,10
05-01-2024,1,6,13,NILOUFER TEA,150,122,RAGI BISCUIT,230,244,BUTTER CAKE,89,65,BLACK FOREST PASTRY,111,18
05-01-2024,1,6,14,NILOUFER TEA,150,60,COCONUT BISCUIT,150,223,BURGUR BUN,170,105,BRAZILIAN COFFEE PASTRY,159,13
05-01-2024,1,6,15,NILOUFER TEA,150,61,FRUIT PREMIUM,500,245,VEG ROLL,45,64,OPERA PASTRY,169.9,26
05-01-2024,1,6,16,NILOUFER TEA,150,78,PALMIERS,170,228,ALOO PARATHA,280,100,ENGLISH FRUIT CUSTURD,193,16
05-01-2024,1,6,17,NILOUFER TEA,150,54,CHOCOCHIP OSMANIA,165,158,PAV BAJI,69,123,PREMIUM BUTTERSCOCH,159,14
05-01-2024,1,6,18,NILOUFER TEA,150,106,PLAIN KHARI,175,173,VEG STICKS,220,84,EGGLESS BUTTERSCOCH,360,10
05-01-2024,1,6,19,NILOUFER TEA,150,65,DRY FRUIT PREMIUM,725,107,PANNER PIZZA,320,74,EGGLESS CHOCOCHIP CAKE,410,13
05-01-2024,1,6,20,NILOUFER TEA,150,120,CHOCO ROCKS,320,233,MUSHROOM WRAP,450,96,EGGLESS CHOCO TRUFFLE CAKE,520,24
05-01-2024,1,6,21,NILOUFER TEA,150,122,GHEE BUN,80,299,MASALA FRIES,250,132,EGGLESS RASMALAI CAKE,620,23
05-01-2024,1,6,22,NILOUFER TEA,150,65,DUM KA ROAT,600,125,SWEET CORN,20,62,TIRAMISU PASTRY,160.9,24
05-01-2024,1,6,23,NILOUFER TEA,150,84,ATTA BISCUIT,180,160,VADA PAV,180,92,SWISS ROCHER PASTRY,159,22
05-01-2024,1,6,24,NILOUFER TEA,150,100,GHEE ALMOND,220,256,POPCORN,25,89,CHEESE CAKE,480,21
06-01-2024,1,7,1,NILOUFER TEA,150,86,OSMANIA CLASSIC,60,145,VEG PUFF,59,87,VANILLA CAKE,169,17
06-01-2024,1,7,2,NILOUFER TEA,150,113,OSMANIA PREMIUM,450,143,PANEER PUFF,69,133,BUTTERSCOCH CAKE,159,21
06-01-2024,1,7,3,NILOUFER TEA,150,103,BUTTER ALMOND,140,163,EGG PUFF,70,83,DRY FRUITS CAKE,220,17
06-01-2024,1,7,4,NILOUFER TEA,150,126,DRY FRUIT,140,179,ALOO SAMOSA,45,111,STRAWBERRY CAKE,250,22
06-01-2024,1,7,5,NILOUFER TEA,150,124,CHOCOCHIP,100,180,MASKA BUN,100,120,PINEAPPLE CAKE,111,10
06-01-2024,1,7,6,NILOUFER TEA,150,63,DOUBLE CHOCOCHIP,120,213,MALAI BUN,180,74,RASMALAI CAKE,250,26
06-01-2024,1,7,7,NILOUFER TEA,150,128,FRUIT BISCUIT,180,266,SANDWICH,120,118,CHOCLATE CAKE,320,14
06-01-2024,1,7,8,NILOUFER TEA,150,130,SALT BISCUIT,140,147,VEG HALEEM,320,93,CHOCO CHIPS CAKES,320,19
06-01-2024,1,7,9,NILOUFER TEA,150,86,MELTING COOKIES,200,272,ONION SAMOSA,50,120,ALMONDS CAKE,230,27
06-01-2024,1,7,10,NILOUFER TEA,150,116,ALMOND STICKS,400,245,FRENCHFRIES,250,85,BLUEBERRY CAKE,480,24
06-01-2024,1,7,11,NILOUFER TEA,150,122,MULTIGRAIN BISCUIT,210,263,CLASSIC PIZZA - S,100,106,RED VELVET PASTRY,111,25
06-01-2024,1,7,12,NILOUFER TEA,150,130,OATS BISCUIT,125,153,BURGER,165,67,BELGIUM CHOCLATE PASTRY,159,11
06-01-2024,1,7,13,NILOUFER TEA,150,116,RAGI BISCUIT,230,164,BUTTER CAKE,89,61,BLACK FOREST PASTRY,111,26
06-01-2024,1,7,14,NILOUFER TEA,150,85,COCONUT BISCUIT,150,122,BURGUR BUN,170,85,BRAZILIAN COFFEE PASTRY,159,23
06-01-2024,1,7,15,NILOUFER TEA,150,92,FRUIT PREMIUM,500,172,VEG ROLL,45,88,OPERA PASTRY,169.9,
06-01-2024,1,7,16,NILOUFER TEA,150,116,PALMIERS,170,175,ALOO PARATHA,280,100,ENGLISH FRUIT CUSTURD,193,25
06-01-2024,1,7,17,NILOUFER TEA,150,53,CHOCOCHIP OSMANIA,165,106,PAV BAJI,69,79,PREMIUM BUTTERSCOCH,159,19
06-01-2024,1,7,18,NILOUFER TEA,150,126,PLAIN KHARI,175,297,VEG STICKS,220,69,EGGLESS BUTTERSCOCH,360,25
06-01-2024,1,7,19,NILOUFER TEA,150,112,DRY FRUIT PREMIUM,725,183,PANNER PIZZA,320,95,EGGLESS CHOCOCHIP CAKE,410,10
06-01-2024,1,7,20,NILOUFER TEA,150,103,CHOCO ROCKS,320,273,MUSHROOM WRAP,450,87,EGGLESS CHOCO TRUFFLE CAKE,520,17
06-01-2024,1,7,21,NILOUFER TEA,150,99,GHEE BUN,80,289,MASALA FRIES,250,115,EGGLESS RASMALAI CAKE,620,29
06-01-2024,1,7,22,NILOUFER TEA,150,119,DUM KA ROAT,600,158,SWEET CORN,20,147,TIRAMISU PASTRY,160.9,23
06-01-2024,1,7,23,NILOUFER TEA,150,97,ATTA BISCUIT,180,101,VADA PAV,180,108,SWISS ROCHER PASTRY,159,20
06-01-2024,1,7,24,NILOUFER TEA,150,82,GHEE ALMOND,220,117,POPCORN,25,144,CHEESE CAKE,480,20
07-01-2024,1,1,1,NILOUFER TEA,150,50,OSMANIA CLASSIC,60,258,VEG PUFF,59,61,VANILLA CAKE,169,23
07-01-2024,1,1,2,NILOUFER TEA,150,100,OSMANIA PREMIUM,450,295,PANEER PUFF,69,126,BUTTERSCOCH CAKE,159,12
07-01-2024,1,1,3,NILOUFER TEA,150,91,BUTTER ALMOND,140,154,EGG PUFF,70,102,DRY FRUITS CAKE,220,15
07-01-2024,1,1,4,NILOUFER TEA,150,57,DRY FRUIT,140,235,ALOO SAMOSA,45,125,STRAWBERRY CAKE,250,26
07-01-2024,1,1,5,NILOUFER TEA,150,82,CHOCOCHIP,100,176,MASKA BUN,100,109,PINEAPPLE CAKE,111,11
07-01-2024,1,1,6,NILOUFER TEA,150,59,DOUBLE CHOCOCHIP,120,147,MALAI BUN,180,100,RASMALAI CAKE,250,
07-01-2024,1,1,7,NILOUFER TEA,150,114,FRUIT BISCUIT,180,102,SANDWICH,120,110,CHOCLATE CAKE,320,
07-01-2024,1,1,8,NILOUFER TEA,150,81,SALT BISCUIT,140,242,VEG HALEEM,320,62,CHOCO CHIPS CAKES,320,
07-01-2024,1,1,9,NILOUFER TEA,150,76,MELTING COOKIES,200,261,ONION SAMOSA,50,124,ALMONDS CAKE,230,
07-01-2024,1,1,10,NILOUFER TEA,150,62,ALMOND STICKS,400,160,FRENCHFRIES,250,67,BLUEBERRY CAKE,480,
07-01-2024,1,1,11,NILOUFER TEA,150,103,MULTIGRAIN BISCUIT,210,176,CLASSIC PIZZA - S,100,79,RED VELVET PASTRY,111,
07-01-2024,1,1,12,NILOUFER TEA,150,107,OATS BISCUIT,125,250,BURGER,165,107,BELGIUM CHOCLATE PASTRY,159,19
07-01-2024,1,1,13,NILOUFER TEA,150,129,RAGI BISCUIT,230,276,BUTTER CAKE,89,113,BLACK FOREST PASTRY,111,19
07-01-2024,1,1,14,NILOUFER TEA,150,115,COCONUT BISCUIT,150,262,BURGUR BUN,170,97,BRAZILIAN COFFEE PASTRY,159,20
07-01-2024,1,1,15,NILOUFER TEA,150,76,FRUIT PREMIUM,500,220,VEG ROLL,45,127,OPERA PASTRY,169.9,29
07-01-2024,1,1,16,NILOUFER TEA,150,78,PALMIERS,170,135,ALOO PARATHA,280,123,ENGLISH FRUIT CUSTURD,193,25
07-01-2024,1,1,17,NILOUFER TEA,150,83,CHOCOCHIP OSMANIA,165,221,PAV BAJI,69,113,PREMIUM BUTTERSCOCH,159,22
07-01-2024,1,1,18,NILOUFER TEA,150,105,PLAIN KHARI,175,198,VEG STICKS,220,141,EGGLESS BUTTERSCOCH,360,14
07-01-2024,1,1,19,NILOUFER TEA,150,128,DRY FRUIT PREMIUM,725,240,PANNER PIZZA,320,76,EGGLESS CHOCOCHIP CAKE,410,13
07-01-2024,1,1,20,NILOUFER TEA,150,69,CHOCO ROCKS,320,201,MUSHROOM WRAP,450,102,EGGLESS CHOCO TRUFFLE CAKE,520,29
07-01-2024,1,1,21,NILOUFER TEA,150,92,GHEE BUN,80,112,MASALA FRIES,250,60,EGGLESS RASMALAI CAKE,620,29
07-01-2024,1,1,22,NILOUFER TEA,150,117,DUM KA ROAT,600,288,SWEET CORN,20,71,TIRAMISU PASTRY,160.9,23
07-01-2024,1,1,23,NILOUFER TEA,150,97,ATTA BISCUIT,180,219,VADA PAV,180,71,SWISS ROCHER PASTRY,159,12
07-01-2024,1,1,24,NILOUFER TEA,150,97,GHEE ALMOND,220,147,POPCORN,25,119,CHEESE CAKE,480,20
08-01-2024,1,2,1,NILOUFER TEA,150,63,OSMANIA CLASSIC,60,235,VEG PUFF,59,130,VANILLA CAKE,169,20
08-01-2024,1,2,2,NILOUFER TEA,150,97,OSMANIA PREMIUM,450,167,PANEER PUFF,69,146,BUTTERSCOCH CAKE,159,25
08-01-2024,1,2,3,NILOUFER TEA,150,98,BUTTER ALMOND,140,273,EGG PUFF,70,103,DRY FRUITS CAKE,220,11
08-01-2024,1,2,4,NILOUFER TEA,150,72,DRY FRUIT,140,248,ALOO SAMOSA,45,137,STRAWBERRY CAKE,250,11
08-01-2024,1,2,5,NILOUFER TEA,150,120,CHOCOCHIP,100,204,MASKA BUN,100,119,PINEAPPLE CAKE,111,10
08-01-2024,1,2,6,NILOUFER TEA,150,65,DOUBLE CHOCOCHIP,120,278,MALAI BUN,180,84,RASMALAI CAKE,250,15
08-01-2024,1,2,7,NILOUFER TEA,150,116,FRUIT BISCUIT,180,131,SANDWICH,120,106,CHOCLATE CAKE,320,18
08-01-2024,1,2,8,NILOUFER TEA,150,110,SALT BISCUIT,140,115,VEG HALEEM,320,121,CHOCO CHIPS CAKES,320,10
08-01-2024,1,2,9,NILOUFER TEA,150,114,MELTING COOKIES,200,281,ONION SAMOSA,50,117,ALMONDS CAKE,230,16
08-01-2024,1,2,10,NILOUFER TEA,150,51,ALMOND STICKS,400,109,FRENCHFRIES,250,62,BLUEBERRY CAKE,480,13
08-01-2024,1,2,11,NILOUFER TEA,150,76,MULTIGRAIN BISCUIT,210,116,CLASSIC PIZZA - S,100,114,RED VELVET PASTRY,111,22
08-01-2024,1,2,12,NILOUFER TEA,150,125,OATS BISCUIT,125,137,BURGER,165,134,BELGIUM CHOCLATE PASTRY,159,30
08-01-2024,1,2,13,NILOUFER TEA,150,50,RAGI BISCUIT,230,147,BUTTER CAKE,89,126,BLACK FOREST PASTRY,111,15
08-01-2024,1,2,14,NILOUFER TEA,150,56,COCONUT BISCUIT,150,164,BURGUR BUN,170,86,BRAZILIAN COFFEE PASTRY,159,23
08-01-2024,1,2,15,NILOUFER TEA,150,90,FRUIT PREMIUM,500,144,VEG ROLL,45,106,OPERA PASTRY,169.9,25
08-01-2024,1,2,16,NILOUFER TEA,150,52,PALMIERS,170,252,ALOO PARATHA,280,73,ENGLISH FRUIT CUSTURD,193,24
08-01-2024,1,2,17,NILOUFER TEA,150,58,CHOCOCHIP OSMANIA,165,280,PAV BAJI,69,121,PREMIUM BUTTERSCOCH,159,11
08-01-2024,1,2,18,NILOUFER TEA,150,77,PLAIN KHARI,175,151,VEG STICKS,220,69,EGGLESS BUTTERSCOCH,360,11
